Date of Sale (dd/mm/yyyy),Address,Postal Code,County,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description
19/06/2018,"THE BRAMBLES, NEWTOWNBOND, EDGEWORTHSTOWN",,Longford,"€95,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/12/2019,"18 TOWER VIEW, STONEY LANE, ARDEE",,Louth,"€183,000.00",No,No,Second-Hand Dwelling house /Apartment,
18/05/2015,"16 SEABURY, STATION RD, ROSSLARE HARBOUR",,Wexford,"€127,000.00",No,No,Second-Hand Dwelling house /Apartment,
14/08/2015,"Patch, Moylough, Ballinasloe",,Galway,"€59,300.00",No,No,Second-Hand Dwelling house /Apartment,
7/3/2017,"APT 17, BODEN MEATH, BALLYBODEN DUBLIN 16",Dublin 16,Dublin,"€235,100.00",No,No,Second-Hand Dwelling house /Apartment,
24/03/2017,"NR 4 CLARE INN SUITES, DROMOLAND, NEWMARKET ON FERGUS",,Clare,"€12,000.00",No,No,Second-Hand Dwelling house /Apartment,
27/10/2017,"142 RICHMOND PARK, HERBERT RD BRAY, WICKLOW",,Wicklow,"€395,000.00",No,No,Second-Hand Dwelling house /Apartment,
29/04/2021,"18 CASTLEFIELD PARK, CLONSILLA, DUBLIN 15",Dublin 15,Dublin,"€492,000.00",No,No,Second-Hand Dwelling house /Apartment,
2/7/2021,"13 CASTLEVIEW COURT, SWORDS, DUBLIN",,Dublin,"€257,000.00",No,No,Second-Hand Dwelling house /Apartment,
13/11/2013,"39 Harold Road, Grangegorman, Dublin 7",Dublin 7,Dublin,"€160,000.00",No,No,Second-Hand Dwelling house /Apartment,
11/3/2014,"69A KILTALOWN ROAD, TALLAGHT, DUBLIN 24",,Dublin,"€105,000.00",No,No,Second-Hand Dwelling house /Apartment,
23/12/2020,"COOLBAUN, FETHARD, CO TIPPERARY",,Tipperary,"€230,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/1/2011,"Graughill, Pullathomas, Ballina",,Mayo,"€150,000.00",No,No,Second-Hand Dwelling house /Apartment,
24/08/2015,"147 Evanwood, Castletroy",,Limerick,"€191,629.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
22/12/2021,"UPPER BRIDGE ST, KILLORGLIN, CO. KERRY",,Kerry,"€135,000.00",No,No,Second-Hand Dwelling house /Apartment,
1/7/2020,"ARDAGH, MOUNT AVE, DUNDALK",,Louth,"€305,000.00",No,Yes,New Dwelling house /Apartment,
31/08/2018,"17 EAST, SINGLAND RD, GARRYOWEN",,Limerick,"€21,250.00",Yes,No,Second-Hand Dwelling house /Apartment,
21/05/2018,"37 RAHEEN DR, BALLYFERMOTT, DUBLIN 10",Dublin 10,Dublin,"€245,000.00",No,No,Second-Hand Dwelling house /Apartment,
19/12/2013,"56 ABBEYTOWN, CROSSMOLINA, MAYO",,Mayo,"€78,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/07/2018,"8 ASHFIELD DR, COOLCOTTS, WEXFORD",,Wexford,"€99,000.00",No,No,Second-Hand Dwelling house /Apartment,
26/04/2010,"15 Knocknagragh, Ballinroad, Dungarven",,Waterford,"€158,000.00",No,No,Second-Hand Dwelling house /Apartment,
16/06/2011,"Brockley Park, Stradbally",,Laois,"€120,704.84",Yes,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
16/04/2018,"57 AVONDALE DR, HANOVER, CARLOW",,Carlow,"€161,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/04/2021,"ATHLONE RD, FERBANE, OFFALY",,Offaly,"€95,000.00",No,No,Second-Hand Dwelling house /Apartment,
23/11/2017,"28 CHURCH VIEW, CLAREGALWAY, GALWAY",,Galway,"€180,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/02/2021,"3 ISLAND LODGE, WALSH ISLAND, OFFALY",,Offaly,"€175,000.00",No,No,Second-Hand Dwelling house /Apartment,
16/03/2017,"21 The Strand, Marina Village, Greystones",,Wicklow,"€585,903.08",No,Yes,New Dwelling house /Apartment,greater than or equal to 125 sq metres
