Address,Postal_Code,County,Price_euro,Not_Full_Market_Price,VAT_Exclusive,Description_of_Property,Property_Size_Description,Day,Month,Year,DoS_yyyymmdd
"50 ST JOHNS CLOSE, CLONDALKIN, DUBLIN 22",Dublin 22,Dublin,142000.0,No,No,Second-Hand Dwelling house /Apartment,,16,7,2015,2015-07-16
"13 SALMON WEIR, ANNACOTTY, LIMERICK",,Limerick,243000.0,No,No,Second-Hand Dwelling house /Apartment,,30,10,2020,2020-10-30
"FARRANAFINA, PALLASGREEN, CO LIMERICK",,Limerick,83000.0,No,No,Second-Hand Dwelling house /Apartment,,16,8,2016,2016-08-16
"1 THOMOND COURT, BALLYMAHON, LONGFORD",,Longford,40000.0,No,No,Second-Hand Dwelling house /Apartment,,9,2,2015,2015-02-09
"180 KINCORA RD, CLONTARF, DUBLIN 3",Dublin 3,Dublin,200000.0,No,No,Second-Hand Dwelling house /Apartment,,11,7,2017,2017-07-11
"26 LEIGHLIN ROAD, CRUMLIN, DUBLIN 12",Dublin 12,Dublin,245000.0,No,No,Second-Hand Dwelling house /Apartment,,2,6,2017,2017-06-02
"23 THE SQUARE, HIGHFIELD PARK, BALLINCOLLIG",,Cork,20000.0,Yes,No,Second-Hand Dwelling house /Apartment,,29,9,2017,2017-09-29
"5 Mourne Road, Drimnagh, Dublin",Dublin 13,Dublin,23500.0,Yes,No,Second-Hand Dwelling house /Apartment,,14,3,2011,2011-03-14
"104 BEECHWOOD PARK, CARLOW",,Carlow,175000.0,No,No,Second-Hand Dwelling house /Apartment,,30,11,2020,2020-11-30
"15 WICKLOW TERRACE, SEA RD, ARKLOW",,Wicklow,180000.0,No,No,Second-Hand Dwelling house /Apartment,,5,12,2019,2019-12-05
"APT 71 JAMES HAROLD BLOCK, WEST PARK, CITY WEST",,Dublin,246428.57,No,No,Second-Hand Dwelling house /Apartment,,30,4,2019,2019-04-30
